608	34226	54	9	4	1	3037726	3043047	-192428924	+	L1Md_A	LINE	L1	279	5586	-995	3
608	8253	40	1	0	1	3043047	3044040	-192427931	+	L1Md_A	LINE	L1	5587	6580	-2	3
608	4434	73	0	29	1	3085320	3086087	-192385884	+	L1Md_A	LINE	L1	1089	1813	-4768	1
608	8567	4	0	0	1	3136584	3137756	-192334215	-	L1Md_A	LINE	L1	0	6582	5411	1
609	29986	77	14	1	1	3156180	3160589	-192311382	+	L1Md_A	LINE	L1	1123	5586	-995	1
609	5865	19	0	0	1	3178860	3179541	-192292430	+	L1Md_A	LINE	L1	4905	5585	-996	2
609	8420	34	0	0	1	3179542	3180538	-192291433	+	L1Md_A	LINE	L1	5587	6582	0	2
609	36545	42	1	1	1	3237885	3243817	-192228154	-	L1Md_A	LINE	L1	0	6585	563	2
610	8690	19	0	0	1	3307937	3308930	-192163041	+	L1Md_A	LINE	L1	5587	6579	-3	3
613	35306	33	16	12	1	3766050	3767699	-191704272	-	L1Md_A	LINE	L1	0	6582	4909	9
613	35306	33	16	12	1	3767764	3771412	-191700559	-	L1Md_A	LINE	L1	0	4908	1203	9
614	3831	185	5	7	1	3831168	3831953	-191640018	-	L1Md_A	LINE	L1	-5493	1231	229	1
614	8511	24	1	0	1	3896203	3897773	-191574198	-	L1Md_A	LINE	L1	-2	6580	5010	1
614	5043	32	0	0	1	3897772	3898373	-191573598	+	L1Md_A	LINE	L1	4407	5007	-1574	1
615	15739	15	0	0	1	4019736	4021627	-191450344	+	L1Md_A	LINE	L1	3696	5586	-995	1
615	8714	20	0	0	1	4021627	4022623	-191449348	+	L1Md_A	LINE	L1	5587	6582	0	1
616	39451	5	0	0	1	4079255	4085812	-191386159	-	L1Md_A	LINE	L1	0	6582	56	1
617	8581	6	0	0	1	4212698	4213806	-191258165	-	L1Md_A	LINE	L1	0	6582	5475	1
617	3336	18	0	0	1	4247979	4248364	-191223607	+	L1Md_A	LINE	L1	6198	6582	0	1
619	19131	8	0	0	1	4483867	4485989	-190985982	+	L1Md_A	LINE	L1	3465	5586	-995	1
619	8951	15	0	1	1	4485989	4486986	-190984985	+	L1Md_A	LINE	L1	5587	6582	0	1
626	36307	16	1	8	1	5429836	5435642	-190036329	+	L1Md_A	LINE	L1	1	5586	-995	3
626	8773	17	0	0	1	5435642	5436637	-190035334	+	L1Md_A	LINE	L1	5587	6581	-1	3
627	11867	8	2	1	1	5551461	5552815	-189919156	+	L1Md_A	LINE	L1	4231	5586	-995	3
627	8970	5	0	0	1	5552815	5553811	-189918160	+	L1Md_A	LINE	L1	5587	6582	0	3
628	3867	37	0	0	1	5733709	5734169	-189737802	-	L1Md_A	LINE	L1	-1	6581	6122	3
628	25714	22	0	0	1	5738773	5741795	-189730176	+	L1Md_A	LINE	L1	2566	5586	-995	3
628	8347	38	0	0	1	5741796	5742791	-189729180	+	L1Md_A	LINE	L1	5588	6582	0	3
629	36232	16	0	7	1	5819993	5825598	-189646373	+	L1Md_A	LINE	L1	25	5586	-995	3
629	8881	12	0	0	1	5825598	5826594	-189645377	+	L1Md_A	LINE	L1	5587	6582	0	3
629	3264	169	2	2	1	5875300	5875897	-189596074	-	L1Md_A	LINE	L1	-5383	1341	745	3
631	1087	41	21	0	1	6060632	6060777	-189411194	+	L1Md_A	LINE	L1	6433	6580	-2	4
632	10452	33	2	0	1	6252772	6254718	-189217253	-	L1Md_A	LINE	L1	0	6582	4633	4
633	30515	83	7	3	1	6296098	6300915	-189171056	+	L1Md_A	LINE	L1	742	5586	-995	4
635	8018	26	0	0	1	6636045	6637528	-188834443	-	L1Md_A	LINE	L1	-1	6581	5099	5
635	29888	68	3	6	1	6644867	6649688	-188822283	+	L1Md_A	LINE	L1	441	5245	-1336	5
636	1669	25	0	0	1	6772320	6772520	-188699451	+	L1Md_A	LINE	L1	6383	6582	0	5
637	1382	30	0	0	1	6829294	6829461	-188642510	-	L1Md_A	LINE	L1	-2	6580	6414	5
637	38846	14	1	7	1	6917008	6922398	-188549573	+	L1Md_A	LINE	L1	232	5586	-995	5
637	9293	18	0	1	1	6922398	6923395	-188548576	+	L1Md_A	LINE	L1	5587	6582	0	5
642	39611	26	4	6	1	7482158	7488613	-187983358	-	L1Md_A	LINE	L1	-2	6580	140	6
644	15503	91	57	13	1	7794964	7798082	-187673889	-	L1Md_A	LINE	L1	0	6582	3276	6
644	15503	123	84	19	1	7798230	7798673	-187673298	-	L1Md_A	LINE	L1	-3306	3275	2835	6
644	5073	34	0	0	1	7803684	7804280	-187667691	-	L1Md_A	LINE	L1	-1	6581	5986	6
645	545	16	0	0	1	7979028	7979091	-187492880	+	L1Md_A	LINE	L1	5523	5585	-996	7
645	8384	34	1	0	1	7979092	7980086	-187491885	+	L1Md_A	LINE	L1	5587	6581	-1	7
646	5536	19	0	0	1	8033845	8034478	-187437493	-	L1Md_A	LINE	L1	0	6582	5950	7
647	39272	7	0	0	1	8212467	8219050	-187252921	-	L1Md_A	LINE	L1	0	6582	1	7
648	5460	27	0	0	1	8276929	8277561	-187194410	-	L1Md_A	LINE	L1	0	6582	5951	7
648	1355	45	6	0	1	8282253	8282432	-187189539	+	L1Md_A	LINE	L1	6402	6581	-1	7
649	27606	83	76	29	1	8509789	8513922	-186958049	+	L1Md_A	LINE	L1	414	4864	-1717	7
649	27606	83	76	29	1	8514059	8514728	-186957243	+	L1Md_A	LINE	L1	4865	5586	-995	7
650	22473	47	2	10	1	8523533	8527007	-186944964	-	L1Md_A	LINE	L1	-2521	4060	621	7
650	2771	7	0	0	1	8600137	8600446	-186871525	+	L1Md_A	LINE	L1	5278	5586	-995	7
650	8781	15	0	0	1	8600446	8601442	-186870529	+	L1Md_A	LINE	L1	5587	6582	0	7
650	9127	18	3	0	1	8628406	8630137	-186841834	-	L1Md_A	LINE	L1	-1	6581	4845	7
651	36775	9	0	1	1	8688263	8694262	-186777709	+	L1Md_A	LINE	L1	1	5586	-995	7
651	9039	4	0	0	1	8694262	8695258	-186776713	+	L1Md_A	LINE	L1	5587	6582	0	7
651	14531	23	0	0	1	8699694	8702150	-186769821	-	L1Md_A	LINE	L1	0	6582	4127	7
651	32539	84	3	11	1	8710510	8712355	-186759616	+	L1Md_A	LINE	L1	301	2128	-4453	7
651	32539	49	5	2	1	8714169	8714829	-186757142	+	L1Md_A	LINE	L1	2129	2797	-3784	7
651	32539	49	5	2	1	8714856	8717637	-186754334	+	L1Md_A	LINE	L1	2798	5585	-996	7
